id_key	nmea_telegram	update_utcdate
723	$PSCMSM2,135729.00,A,TEY,1,H,6.00,15*44	2018-04-20 14:00:35.930
724	$PSCMGLL,5306.65,N,00954.58,W,140031.00,A,A*60	2018-04-20 14:00:36.030
725	$PSCMVTG,130.00,T,134.00,M,3.70,N,6.85,K,A*32	2018-04-20 14:00:36.127
726	$PSCMZDA,135730.00,20,04,2018,00,00*72	2018-04-20 14:00:36.210
727	$PSCMDBS,298.15,f,90.88,M,49.69,F*27	2018-04-20 14:00:36.290
728	$PSCMSM2,135730.00,V,TSP,1,Y,0.66,0*67	2018-04-20 14:00:36.460
729	$PSCMSM2,135730.00,V,TSP,1,X,-0.09,0*42	2018-04-20 14:00:36.543
730	$PSCMSM2,135730.00,V,TS,2,F,6.00,15*19	2018-04-20 14:00:36.797
731	$PSCMSM2,135730.00,V,TS,2,H,18.88,15*28	2018-04-20 14:00:36.967
732	$PSCMSM2,135730.00,A,TEY,1,C,0.00,15*41	2018-04-20 14:00:37.140
733	$PSCMSM2,135730.00,A,TEY,1,F,0.00,15*44	2018-04-20 14:00:37.223
734	$PSCMGLL,5306.65,N,00954.58,W,140032.00,A,A*63	2018-04-20 14:00:37.410
735	$PSCMVTG,131.00,T,134.00,M,3.50,N,6.48,K,A*30	2018-04-20 14:00:37.507
736	$PSCMZDA,135731.00,20,04,2018,00,00*73	2018-04-20 14:00:37.590
737	$PSCMDBS,293.64,f,89.50,M,48.94,F*24	2018-04-20 14:00:37.670
738	$PSCMSM2,135731.00,A,TSP,1,X,-0.09,0*54	2018-04-20 14:00:37.840
739	$PSCMSM2,135731.00,V,TSP,1,Y,0.66,0*66	2018-04-20 14:00:37.923
740	$PSCMSM2,135731.00,V,TS,2,F,6.00,15*18	2018-04-20 14:00:38.173
741	$PSCMSM2,135731.00,V,TS,2,H,18.88,15*29	2018-04-20 14:00:38.343
742	$PSCMSM2,135731.00,A,TEY,1,O,5.69,15*46	2018-04-20 14:00:38.430
743	$PSCMSM2,135731.00,A,TEY,1,C,0.00,15*40	2018-04-20 14:00:38.517
